is_scam,text
0,예금 상품에 대해 안내해 드리겠습니다. 저희 은행의 예금 상품은 다양한 기간과 이자율로 고객님의 목표에 맞게 선택하실 수 있습니다. 궁금하신 점이 있으시면 언제든지 문의해 주세요.
0,"예금 상품에 대해 안내해 드리겠습니다. 저희 은행의 예금 상품은 다양하게 준비되어 있으며, 자세한 내용은 영업점을 방문하시거나 인터넷뱅킹을 이용해 확인하실 수 있습니다."
0,예금 상품 중 안정적인 수익을 얻을 수 있는 상품이 있습니다. 자세한 내용은 영업점을 방문하시거나 전화 상담 부탁드립니다.
0,"예금 상품에 대해 안내해 드리겠습니다. 당사의 예금 상품은 다양하게 준비되어 있으며, 자세한 내용은 온라인 홈페이지를 통해 확인하실 수 있습니다."
0,예금 상품으로는 정기예금과 만기일 협의예금이 있습니다. 자세한 내용은 영업점을 방문하시거나 홈페이지를 참고해주세요.
0,"예금 상품의 이자율은 연 1.5%로 안정적인 수익을 드립니다. 만기 시 자동해지되니 유의하시고, 추가 문의사항이 있으시면 언제든지 연락주세요."
0,"예금 상품에 대한 자세한 안내는 홈페이지를 참고해주시고, 추가 문의사항이 있으시면 상담센터로 연락 주시기 바랍니다."
0,"예금 상품에 대해 안내해 드리겠습니다. 저희 은행의 예금 상품은 다양하게 준비되어 있으며, 자세한 내용은 영업점을 방문하시거나 홈페이지를 참고해주시면 됩니다."
0,"예금 상품에 대해 안내해 드리겠습니다. 저희 은행에서는 다양한 금융 상품을 제공하고 있어서, 고객님의 목표에 맞는 상품을 찾아드릴 수 있습니다."
0,예금 상품 중 안정적인 금리를 제공하는 만기 1년 정기예금 상품이 있습니다. 자세한 내용은 영업점을 방문하시거나 고객센터로 문의해주시기 바랍니다.
0,"예금 상품에 대해 안내해 드리겠습니다. 당사의 예금 상품은 다양하게 준비되어 있으며, 자세한 내용은 온라인 홈페이지를 참고하시거나 가까운 영업점을 방문해 주세요."
0,예금 상품은 현재 연 1%의 이자율로 제공되고 있습니다. 자세한 내용은 저희 홈페이지를 참고해주시기 바랍니다.
0,"예금 상품에 대해 안내해 드리겠습니다. 저희 은행에서는 다양한 예금 상품을 제공하고 있으며, 자세한 내용은 온라인 뱅킹을 통해 확인하실 수 있습니다."
0,"예금 상품에 대해 안내해 드릴텐데, 현재 최고 연이자율은 1.5% 입니다. 원하시는 상품이 있으시면 상담원과 상세히 상의해보세요."
0,"예금 상품에 대해 안내해 드리겠습니다. 당사의 예금 상품은 다양한 기간과 이자율로 제공되며, 자세한 내용은 홈페이지를 참고해주시기 바랍니다."
0,예금 상품에 대해 안내해 드릴게요. 저희 은행의 예금 상품은 다양한 이율과 혜택을 제공하고 있습니다. 자세한 내용은 영업점을 방문하시거나 온라인으로 확인해주세요.
0,"예금 상품에 대해 안내해드릴게요. 저희 은행의 예금 상품은 다양하게 준비되어 있으며, 자세한 내용은 영업점을 방문하시거나 홈페이지에서 확인하실 수 있습니다."
0,"예금 상품에 대해 안내해 드릴텐데, 현재 가입하신 예금 상품에 대해서는 연 1%의 이자율이 적용되고 있습니다. 만기일이 다가오면 자동으로 연장되니 추가 안내가 필요하신 경우 연락 주시면 됩니다."
0,적금 상품에 대해 안내해 드리겠습니다. 현재 저희 은행의 적금 상품은 고금리로 안정적인 수익을 보장해 드립니다. 자세한 내용은 온라인 뱅킹을 통해 확인하실 수 있습니다.
0,"예금 상품에 대해 안내해 드리겠습니다. 저희 은행에서 제공하는 다양한 예금 상품을 확인하시고, 가입하실 수 있습니다."
0,"예금 상품에 대해 안내해 드리겠습니다. 저희 은행에서는 다양한 예금 상품을 제공하고 있으며, 이에 대한 자세한 내용은 영업점을 방문하시거나 고객센터로 문의해 주시면 안내 도와드리겠습니다."
0,"예금 상품에 대해 안내해 드리겠습니다. 저희 은행에서는 다양한 예금 상품을 제공하고 있으며, 자세한 내용은 영업점을 방문하시거나 홈페이지를 참고해 주세요."
0,예금 상품에 대해 안내해 드릴게요. 저희 은행의 예금 상품은 다양한 기간과 금리로 제공되고 있습니다. 자세한 내용은 영업점을 방문하시거나 고객센터로 문의해 주세요.
0,"예금 상품에 대해 안내해 드리겠습니다. 저희 은행의 예금 상품은 다양한 이자율과 혜택이 제공되니, 자세한 내용은 영업점을 방문하시거나 홈페이지를 참고해 주세요."
0,예금 상품으로는 정기예금과 적금 상품이 있습니다. 원하시는 상품에 대해 자세한 안내가 필요하시면 온라인 상담을 이용하시거나 가까운 지점을 방문해주시면 도움을 드리겠습니다.
0,예금 상품으로 안전하고 안정적인 수익을 얻을 수 있는 상품이 있습니다. 저희 은행에서 상세 안내를 받으시려면 가까운 영업점을 방문해주세요.
0,"예금 상품에 대해 안내해 드리겠습니다. 저희 은행의 예금 상품은 다양하게 준비되어 있으며, 가입 조건 및 이자율 등 자세한 내용은 홈페이지나 영업점을 통해 확인하실 수 있습니다."
0,"예금 상품에 대해 안내해 드리겠습니다. 저희 은행에서는 다양한 예금 상품을 제공하고 있으니, 자세한 내용은 인터넷 뱅킹을 통해 확인하시거나 가까운 영업점을 방문해 주세요."
